Hallo!,Hello!
Wie ist die Nachbarschaft?,How is the neighborhood?
Wie viele Zimmer hat die Wohnung?,How many rooms does the apartment have?
Gibt es einen Parkplatz?,Is there parking?
Ist die Wohnung in der Nähe von öffentlichen Verkehrsmitteln?,Is the apartment close to public transport?
Ist das Haustier erlaubt?,Are pets allowed?
Wann kann ich einziehen?,When can I move in?
Wie hoch sind die Nebenkosten?,What are the utility costs?
Ich möchte den Mietvertrag kündigen.,I’d like to terminate the lease.
Wie heißt du?,What’s your name?
Woher kommst du?,Where are you from?
Wie alt bist du?,How old are you?
Wie war dein Tag?,How was your day?
Was machst du in deiner Freizeit?,What do you do in your free time?
Hast du Pläne für das Wochenende?,Do you have plans for the weekend?
Was hast du gestern gemacht?,What did you do yesterday?
Hast du Geschwister?,Do you have siblings?
Welche Hobbys hast du?,What hobbies do you have?
Warst du schon mal in [Berlin]?,Have you ever been to [Berlin]?
Was ist dein Lieblingsessen?,What’s your favorite food?
Wie war dein Urlaub?,How was your vacation?
Siehst du gerne Filme?,Do you like watching movies?
Was ist dein Lieblingsbuch?,What’s your favorite book?
Haben Sie eine Tischreservierung?,Do you have a reservation?
Für wie viele Personen?,For how many people?
Möchten Sie drinnen oder draußen sitzen?,Would you like to sit inside or outside?
Was möchten Sie bestellen?,What would you like to order?
Was ist die Suppe des Tages?,What is the soup of the day?
Ich hätte gerne ein Glas Rotwein.,I’d like a glass of red wine.
Können Sie mir die Rechnung bringen?,Can you bring me the bill?
Das Essen war köstlich.,The food was delicious.
Ich habe eine Reservierung auf den Namen [Müller].,I have a reservation under the name [Müller].
Kann ich die Speisekarte sehen?,Can I see the menu?
Könnte ich bitte noch etwas Wasser haben?,Could I have some more water, please?
Haben Sie vegetarische Gerichte?,Do you have vegetarian dishes?
Ich hätte gerne das gleiche.,I’d like the same.
Ist das alles zusammen?,Is this all together?
Wo finde ich [Milch]?,Where can I find [milk]?
Haben Sie Bio-Produkte?,Do you have organic products?
Ist das im Angebot?,Is this on sale?
Kann ich das in bar bezahlen?,Can I pay for this in cash?
Wo ist die Kasse?,Where is the checkout?
Kann ich das zurückgeben?,Can I return this?
Brauchen Sie eine Tüte?,Do you need a bag?
Könnten Sie das einpacken?,Could you wrap that up?
Ich habe mein eigenes Körbchen.,I have my own basket.
Haben Sie frisches Obst?,Do you have fresh fruit?
Gibt es hier eine Bäckerei?,Is there a bakery here?
Wie spät schließen Sie?,What time do you close?
Ich suche [Kartoffeln].,I’m looking for [potatoes].
Haben Sie das in einer kleineren Größe?,Do you have this in a smaller size?
Ich habe eine Reservierung.,I have a reservation.
Wann ist der Check-in?,When is check-in?
Wann ist der Check-out?,When is check-out?
Gibt es WLAN im Zimmer?,Is there Wi-Fi in the room?
Wo ist das Frühstücksbuffet?,Where is the breakfast buffet?
Ist das Frühstück inklusive?,Is breakfast included?
Können Sie mir bitte den Zimmerschlüssel geben?,Can you please give me the room key?
Gibt es einen Fitnessraum?,Is there a gym?
Kann ich mein Gepäck hier lassen?,Can I leave my luggage here?
Können Sie mir einen Weckruf geben?,Can you give me a wake-up call?
Wo ist der Aufzug?,Where is the elevator?
Wie ist die Aussicht vom Zimmer?,How is the view from the room?
Könnte ich bitte ein zusätzliches Kissen haben?,Could I have an extra pillow, please?
Gibt es hier einen Safe?,Is there a safe here?
Entschuldigung, können Sie mir helfen?,Excuse me, can you help me?
Wo ist die nächste U-Bahn-Station?,Where is the nearest subway station?
Wie komme ich zum Bahnhof?,How do I get to the train station?
Wie weit ist es bis zum [Museum]?,How far is it to the [museum]?
Können Sie mir den Weg zeigen?,Can you show me the way?
Wie lange dauert es, dorthin zu gelangen?,How long does it take to get there?
Ist es in der Nähe?,Is it nearby?
Gibt es in der Nähe ein Café?,Is there a café nearby?
Wie komme ich zu [der Straße]?,How do I get to [Street]?
Kann ich hier parken?,Can I park here?
Ist das weit von hier?,Is it far from here?
Welcher Bus fährt zum [Zentrum]?,Which bus goes to [the center]?
Gibt es hier in der Nähe ein Hotel?,Is there a hotel nearby?
Ist es sicher, hier zu gehen?,Is it safe to walk here?
Hilfe!,Help!
Rufen Sie die Polizei!,Call the police!
Ich brauche einen Arzt.,I need a doctor.
Wo ist das nächste Krankenhaus?,Where is the nearest hospital?
Gibt es hier einen Notruf?,Is there an emergency phone here?
Ich bin verletzt.,I’m injured.
Ich habe mich verlaufen.,I’m lost.
Ich wurde bestohlen.,I’ve been robbed.
Wo ist die Botschaft?,Where is the embassy?
Ich brauche Hilfe.,I need help.
Kannst du mir deinen Standort senden?,Can you send me your location?
Wo ist die Notaufnahme?,Where is the emergency room?
Können Sie mir die Telefonnummer eines Arztes geben?,Can you give me the phone number of a doctor?
Wie lautet die Notrufnummer?,What is the emergency number?
Wo ist der Check-in-Schalter?,Where is the check-in counter?
Kann ich meinen Pass sehen?,Can I see your passport?
Gibt es eine Verspätung?,Is there a delay?
Wann geht der Flug nach [Berlin]?,When is the flight to [Berlin]?
Haben Sie Übergepäck?,Do you have excess baggage?
Wann beginnt das Boarding?,When does boarding start?
Wo ist das Gate?,Where is the gate?
Können Sie mir helfen, das Gepäck zu tragen?,Can you help me carry the luggage?
Haben Sie Flüssigkeiten in Ihrem Handgepäck?,Do you have liquids in your carry-on?
Wie lange dauert der Flug?,How long is the flight?
Wo ist die Gepäckausgabe?,Where is the baggage claim?
Haben Sie den Flug verpasst?,Did you miss the flight?
Ist das der Flug nach [Berlin]?,Is this the flight to [Berlin]?
Gibt es kostenloses WLAN?,Is there free Wi-Fi?
Ich brauche etwas gegen Kopfschmerzen.,I need something for a headache.
Haben Sie etwas gegen Halsschmerzen?,Do you have something for a sore throat?
Ist das rezeptfrei erhältlich?,Is this available without a prescription?
Wie oft sollte ich das einnehmen?,How often should I take this?
Gibt es Nebenwirkungen?,Are there any side effects?
Haben Sie etwas gegen Allergien?,Do you have something for allergies?
Ich brauche eine Salbe.,I need an ointment.
Können Sie mir das erklären?,Can you explain that to me?
Ist das für Kinder geeignet?,Is this suitable for children?
Haben Sie Fieberthermometer?,Do you have thermometers?
Wie lange dauert es?,How long does it take?
Ich möchte nur die Spitzen schneiden lassen.,I only want the ends trimmed.
Können Sie mir einen Pony schneiden?,Can you cut me some bangs?
Ich hätte gerne eine Hochsteckfrisur.,I’d like an updo.
Machen Sie auch Bartpflege?,Do you also do beard grooming?
Wie viel kostet es?,How much does it cost?
Muss ich einen Termin vereinbaren?,Do I need to make an appointment?
Können Sie meine Haare glätten?,Can you straighten my hair?
Haben Sie Haarpflegeprodukte?,Do you have hair care products?
Gibt es Rabatte?,Are there discounts?
Kann ich einen Mitgliedsausweis bekommen?,Can I get a membership card?
Wie viel kostet die Mitgliedschaft?,How much does the membership cost?
Welche Kurse bieten Sie an?,What classes do you offer?
Haben Sie Personal Trainer?,Do you have personal trainers?
Wie lange ist das Fitnessstudio geöffnet?,How long is the gym open?
Kann ich eine Schnupperstunde machen?,Can I do a trial class?
Gibt es einen Wellnessbereich?,Is there a wellness area?
Kann ich den Kursplan sehen?,Can I see the class schedule?
Wo sind die Umkleideräume?,Where are the changing rooms?
Gibt es einen Ernährungsberater?,Is there a nutritionist?
Kann ich das Fitnessgerät benutzen?,Can I use the exercise equipment?
Haben Sie Handtücher zur Verfügung?,Do you have towels available?
Gibt es Yoga-Kurse?,Are there yoga classes?
Wo ist der Pool?,Where is the pool?
Kann ich meinen Mitgliedsvertrag kündigen?,Can I cancel my membership contract?
Wo ist die Ausleihe?,Where is the checkout?
Kann ich dieses Buch ausleihen?,Can I borrow this book?
Wie lange kann ich das Buch behalten?,How long can I keep the book?
Kann ich das Buch verlängern?,Can I renew the book?
Gibt es eine Kopiermaschine?,Is there a photocopier?
Wo ist der Lesesaal?,Where is the reading room?
Haben Sie dieses Buch in Englisch?,Do you have this book in English?
Ich suche nach einem bestimmten Buch.,I’m looking for a specific book.
Wo ist die Kinderabteilung?,Where is the children’s section?
Kann ich hier lernen?,Can I study here?
Gibt es WLAN?,Is there Wi-Fi?
Kann ich mich hier anmelden?,Can I sign up here?
Gibt es eine Rückgabebox?,Is there a return box?
Wo sind die neuen Bücher?,Where are the new books?
Können Sie mir helfen, das Buch zu finden?,Can you help me find the book?
Frohe Weihnachten!,Merry Christmas!
Frohes neues Jahr!,Happy New Year!
Alles Gute zum Geburtstag!,Happy Birthday!
Herzlichen Glückwunsch!,Congratulations!
Frohe Ostern!,Happy Easter!
Schöne Feiertage!,Happy holidays!
Gutes neues Jahr!,Have a good new year!
Gute Reise!,Have a good trip!
Viel Glück!,Good luck!
Gute Besserung!,Get well soon!
Herzlichen Glückwunsch zum Jubiläum!,Congratulations on your anniversary!
Fröhliche Weihnachten und ein gutes neues Jahr!,Merry Christmas and a Happy New Year!
Alles Liebe zur Hochzeit!,Best wishes on your wedding!
Schönen Valentinstag!,Happy Valentine’s Day!
Frohes Fest!,Happy celebration!
Darf ich reinkommen?,May I come in?
Wie lautet die Hausaufgabe?,What is the homework?
Können Sie das nochmal erklären?,Can you explain that again?
Wie buchstabiert man das?,How do you spell that?
Können Sie mir das bitte erklären?,Can you please explain this to me?
Können wir das aufschreiben?,Can we write this down?
Ich habe eine Frage.,I have a question.
Was bedeutet dieses Wort?,What does this word mean?
Kann ich die Antwort bekommen?,Can I get the answer?
Ich verstehe das nicht.,I don’t understand this.
Kann ich das Buch sehen?,Can I see the book?
Kann ich das Fenster öffnen?,Can I open the window?
Können wir eine Pause machen?,Can we take a break?
Wann ist die Prüfung?,When is the exam?
Ist das richtig?,Is that correct?
Wie heißt das auf Deutsch?,What is this called in German?
Können Sie das langsamer sagen?,Can you say that slower?
Wie spricht man das aus?,How do you pronounce this?
Können Sie das für mich schreiben?,Can you write that down for me?
Was ist die Bedeutung dieses Wortes?,What is the meaning of this word?
Wie sagt man das auf Englisch?,How do you say this in English?
Wie buchstabiert man das auf Deutsch?,How do you spell that in German?
Ich lerne Deutsch.,I’m learning German.
Ich verstehe das Wort nicht.,I don’t understand the word.
Können Sie mir bei der Aussprache helfen?,Can you help me with the pronunciation?
Was ist das Gegenteil von [gut]?,What is the opposite of [good]?
Können Sie mir ein Beispiel geben?,Can you give me an example?
Wie verwendet man dieses Wort?,How do you use this word?
Was ist der Unterschied zwischen [diesem] und [jenem]?,What is the difference between [this] and [that]?
Können Sie mir einen Satz mit diesem Wort geben?,Can you give me a sentence with this word?
Wann beginnt der Film?,When does the movie start?
Gibt es noch Karten für den Film?,Are there still tickets for the movie?
Kann ich zwei Tickets kaufen?,Can I buy two tickets?
Wie viel kostet ein Ticket?,How much is a ticket?
Wo ist der Kinosaal?,Where is the cinema hall?
Welche Filme laufen gerade?,What movies are showing right now?
Haben Sie einen Filmplan?,Do you have a movie schedule?
Gibt es einen Rabatt für Studenten?,Is there a discount for students?
Könnte ich bitte Popcorn haben?,Could I please have some popcorn?
Wo ist der nächste Ausgang?,Where is the nearest exit?
Kann ich meine Reservierung ändern?,Can I change my reservation?
Wann endet der Film?,When does the movie end?
Gibt es eine Pause im Film?,Is there an intermission in the movie?
Ich hätte gerne einen Platz in der Mitte.,I’d like a seat in the middle.
Könnte ich einen Beleg bekommen?,Could I get a receipt?
